{\rtf1\ansi\ansicpg1252\cocoartf2870
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 year,Beverage,Litres_Per_Capita\
1990,Beer,4.90\
1990,Wine,2.10\
1990,Spirits,1.20\
1990,Cider & RTDs,0.20\
2000,Beer,4.50\
2000,Wine,2.50\
2000,Spirits,1.30\
2000,Cider & RTDs,0.40\
2010,Beer,4.10\
2010,Wine,2.80\
2010,Spirits,1.50\
2010,Cider & RTDs,0.60\
2020,Beer,3.60\
2020,Wine,3.10\
2020,Spirits,1.80\
2020,Cider & RTDs,0.90\
2026,Beer,3.20\
2026,Wine,3.30\
2026,Spirits,2.10\
2026,Cider & RTDs,1.20}
