state,year,brewery_count,source
NSW,2020,99,IBA Independent Brewers Association – Industry Report June 2020
VIC,2020,83,IBA Independent Brewers Association – Industry Report June 2020
QLD,2020,47,IBA Independent Brewers Association – Industry Report June 2020
WA,2020,20,IBA Independent Brewers Association – Industry Report June 2020
SA,2020,26,IBA Independent Brewers Association – Industry Report June 2020
TAS,2020,13,IBA Independent Brewers Association – Industry Report June 2020
ACT,2020,3,IBA Independent Brewers Association – Industry Report June 2020
NT,2020,3,IBA Independent Brewers Association – Industry Report June 2020
NSW,2024,137,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
VIC,2024,159,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
QLD,2024,88,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
WA,2024,62,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
SA,2024,48,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
TAS,2024,29,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
ACT,2024,9,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
NT,2024,5,Brews News Australian Brewery Database (brewsnews.com.au) – States of Brewing
